"Comment","Designator","Footprint","LCSC Part #"
"10uF","C1","C_0805_2012Metric","C91245"
"0.1uF","C2,C3,C4,C5","C_0805_2012Metric","C49678"
"1uF","C7","C_0805_2012Metric","C28323"
"22pF","C8,C9","C_0805_2012Metric","C1804"
"D_Small","D2,D3,D4,D5,D6,D7,D9,D10,D11,D12,D13,D14,D15,D24,D25,D26,D27,D28,D29,D30,D32,D33,D35,D8,D36,D1,D19,D20,D21,D22,D23,D18,D17,D31,D34","D_SOT-23_ANK","C68978"
"Polyfuse_Small","F1","Fuse_1206_3216Metric","C69688"
"5.1k","R1,R2","R_0805_2012Metric","C27834"
"22","R3,R4","R_0805_2012Metric","C17561"
"10k","R5,R6","R_0805_2012Metric","C17414"
"1.5k","R7","R_0805_2012Metric","C17513"
"SW_Push","RESET","SW_SPST_TL3342","C318884"
"ATmega32U4-AU","U1","TQFP-44_10x10mm_P0.8mm","C44854"
"SRV05-4","U2","SOT-23-6","C85364"
"USB_C_Receptacle_USB2.0","USB1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Crystal_GND24_Small","X1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
